,year,Policy,Health,GDP,LF,TFR,ln_GDP,policy
count,39.0,39.0,24.0,39.0,34.0,39.0,39.0,39.0
mean,2004.0,0.7948717948717948,4.577700295833334,1354.7329187014086,49.321036926838104,2.4189230769230763,6.647702262890974,0.7948717948717948
std,11.40175425099138,0.4090738692453054,0.35247676243841913,1323.5765217008063,0.48436621728063295,0.7256825239084052,1.1448694561264368,0.4090738692453054
min,1985.0,0.0,3.87075853,98.1070172159577,48.0971932185412,1.873,4.58605889526647,0.0
25%,1994.5,1.0,4.353262062500001,361.4974062483665,49.108266117863025,1.9375,5.890254784510634,1.0
50%,2004.0,1.0,4.565446615,595.247488701606,49.42392177578925,2.0,6.388977266461149,1.0
75%,2013.5,1.0,4.8959792825,2452.951004663655,49.604674107213924,2.8205,7.80432110817242,1.0
max,2023.0,1.0,5.07146072,4323.35031982451,50.0448261093982,4.206,8.371785917661148,1.0
