,TFR,ln_GDP,LF,Health
TFR,1.0,-0.11178937523812325,0.19861096091656666,-0.15617497170367547
ln_GDP,-0.11178937523812325,1.0,-0.7893429850022958,0.5824868076353077
LF,0.19861096091656666,-0.7893429850022958,1.0,-0.3190762338844238
Health,-0.15617497170367547,0.5824868076353077,-0.3190762338844238,1.0
