,TFR,ln_GDP,LF,Health
TFR,1.0,-0.6845289188492081,0.6483362559658238,-0.15617497170367547
ln_GDP,-0.6845289188492081,1.0,-0.8936191157139991,0.5824868076353077
LF,0.6483362559658238,-0.8936191157139991,1.0,-0.3190762338844238
Health,-0.15617497170367547,0.5824868076353077,-0.3190762338844238,1.0
